p_msmw_w,replicate,batch,measure,value
0.05,105,1,MSMW.MSW,0.0422620857403466
0.05,105,3,MSMW.MSW,0.0580375580011175
0.05,107,4,MSMW.MSW,0.0820371064467766
0.05,109,3,MSMW.MSW,0.0557363966650566
0.05,111,3,MSMW.MSW,0.0503140567468052
0.05,113,1,MSMW.MSW,0.0504025933284534
0.05,113,2,MSMW.MSW,0.0535198598683899
0.05,113,4,MSMW.MSW,0.0513525806242013
0.05,115,1,MSMW.MSW,0.0577356172797379
0.05,116,2,MSMW.MSW,0.0419865084903465
0.05,117,2,MSMW.MSW,0.0588803088803088
0.05,118,2,MSMW.MSW,0.0531002422575787
0.05,118,3,MSMW.MSW,0.059892411809911
0.05,120,1,MSMW.MSW,0.0509946889909082
0.05,120,2,MSMW.MSW,0.0367047504509921
0.05,120,4,MSMW.MSW,0.0413889556609339
0.05,121,2,MSMW.MSW,0.0357338502380852
0.05,122,3,MSMW.MSW,0.0517024497366906
0.05,122,4,MSMW.MSW,0.0466950623126676
0.05,123,4,MSMW.MSW,0.0503506478069654
0.05,124,1,MSMW.MSW,0.0534724787587735
0.05,124,2,MSMW.MSW,0.0540850791408198
0.05,126,2,MSMW.MSW,0.0335372111161282
0.05,126,4,MSMW.MSW,0.034818436052345
0.05,127,2,MSMW.MSW,0.0569912794007149
0.05,129,1,MSMW.MSW,0.04864629032649
0.05,130,2,MSMW.MSW,0.0423024523160762
0.05,131,1,MSMW.MSW,0.0512035770875387
0.05,131,4,MSMW.MSW,0.0469343646911614
0.05,132,3,MSMW.MSW,0.0426041515459428
0.05,134,2,MSMW.MSW,0.0558108572410238
0.05,135,3,MSMW.MSW,0.0601400261065622
0.05,137,2,MSMW.MSW,0.0608237872523102
0.05,139,1,MSMW.MSW,0.061865836821459
0.05,142,2,MSMW.MSW,0.0448045345390822
0.05,143,4,MSMW.MSW,0.049261184981195603
0.05,144,1,MSMW.MSW,0.0492979580989502
0.05,144,3,MSMW.MSW,0.0643576855103399
0.05,145,1,MSMW.MSW,0.027936493068565
0.05,145,3,MSMW.MSW,0.0409270104596312
0.05,145,4,MSMW.MSW,0.0530587738219662
0.05,147,1,MSMW.MSW,0.0600244091867302
0.05,147,4,MSMW.MSW,0.0642717447246526
0.05,148,2,MSMW.MSW,0.0441965243509976
0.05,148,4,MSMW.MSW,0.0522120169336271
0.05,149,1,MSMW.MSW,0.0557538383561065
0.05,149,3,MSMW.MSW,0.0681874591033191
0.05,149,4,MSMW.MSW,0.0416247062772742
0.05,150,2,MSMW.MSW,0.0570631796025496
0.05,151,2,MSMW.MSW,0.0501579085884726
0.05,151,4,MSMW.MSW,0.0475347552024868
0.05,152,2,MSMW.MSW,0.0582572470806622
0.05,152,4,MSMW.MSW,0.0374391461104434
0.05,153,2,MSMW.MSW,0.0655272626626072
0.05,153,4,MSMW.MSW,0.0560848950101603
0.05,154,1,MSMW.MSW,0.0589549208068228
0.05,154,4,MSMW.MSW,0.0366222612599424
0.05,156,4,MSMW.MSW,0.0580637373249637
0.05,157,4,MSMW.MSW,0.0482605441684169
0.05,160,2,MSMW.MSW,0.0494685297981607
0.05,161,1,MSMW.MSW,0.0472287275565964
0.05,161,4,MSMW.MSW,0.0660883581836306
0.05,162,3,MSMW.MSW,0.0499482936918304
0.05,162,4,MSMW.MSW,0.0495698757418809
0.05,163,4,MSMW.MSW,0.0483282198284549
0.05,164,3,MSMW.MSW,0.0410144825811281
0.05,166,1,MSMW.MSW,0.0408672112462006
0.05,166,2,MSMW.MSW,0.0596996733460094
0.05,166,4,MSMW.MSW,0.0510093382399863
0.05,167,1,MSMW.MSW,0.0420657860162912
0.05,171,2,MSMW.MSW,0.0480381918543935
0.05,172,1,MSMW.MSW,0.0629323271900546
0.05,172,4,MSMW.MSW,0.0425240054869684
0.05,173,2,MSMW.MSW,0.0634871770584195
0.05,173,3,MSMW.MSW,0.0522987840185292
0.05,174,2,MSMW.MSW,0.0445570736007051
0.05,174,3,MSMW.MSW,0.0546462203226639
0.05,174,4,MSMW.MSW,0.0566709926966435
0.05,177,1,MSMW.MSW,0.0483554839575781
0.05,178,1,MSMW.MSW,0.0484638998332165
0.05,179,1,MSMW.MSW,0.0345938237608182
0.05,180,1,MSMW.MSW,0.068864502929415
0.05,181,3,MSMW.MSW,0.0360148802604045
0.05,183,3,MSMW.MSW,0.0628595780950351
0.05,184,1,MSMW.MSW,0.0463167085015824
0.05,185,3,MSMW.MSW,0.038291260482738
0.05,185,4,MSMW.MSW,0.0387968722676059
0.05,187,3,MSMW.MSW,0.0379372108065077
0.05,187,4,MSMW.MSW,0.0429108977760625
0.05,188,3,MSMW.MSW,0.0389079333986287
0.05,190,1,MSMW.MSW,0.0421555442192644
0.05,190,2,MSMW.MSW,0.0514626473212189
0.05,190,4,MSMW.MSW,0.047131321716957
0.05,192,3,MSMW.MSW,0.0464480874316939
0.05,193,1,MSMW.MSW,0.0561107738289823
0.05,194,3,MSMW.MSW,0.0471213050929942
0.05,194,4,MSMW.MSW,0.0578480441647154
0.05,196,1,MSMW.MSW,0.0403806645098826
0.05,196,2,MSMW.MSW,0.0388622849023838
0.05,196,3,MSMW.MSW,0.0358215312533276
0.05,197,2,MSMW.MSW,0.0433473191073129
0.05,197,3,MSMW.MSW,0.0576452700469359
0.05,199,2,MSMW.MSW,0.0474664663116257
0.05,200,1,MSMW.MSW,0.0493319396473368
0.05,200,4,MSMW.MSW,0.0518772948004263
0.05,202,2,MSMW.MSW,0.049608599135413
0.05,202,3,MSMW.MSW,0.0478712036663263
0.05,205,2,MSMW.MSW,0.0440962295700954
0.05,205,3,MSMW.MSW,0.0495719100100191
0.05,206,2,MSMW.MSW,0.0468435584257569
0.05,208,1,MSMW.MSW,0.0437790074973223
0.05,208,2,MSMW.MSW,0.0377345132743362
0.05,209,1,MSMW.MSW,0.039237710847961
0.05,211,1,MSMW.MSW,0.0540298362879008
0.05,211,4,MSMW.MSW,0.059484566976326
0.05,213,1,MSMW.MSW,0.0427573190734041
0.05,213,3,MSMW.MSW,0.0437573331492856
0.05,215,3,MSMW.MSW,0.0554601539146473
0.05,216,2,MSMW.MSW,0.0654410755933598
0.05,218,1,MSMW.MSW,0.0436696861175479
0.05,220,2,MSMW.MSW,0.0551849319912307
0.05,221,1,MSMW.MSW,0.0432274137855675
0.05,222,2,MSMW.MSW,0.0599687683789977
0.05,222,3,MSMW.MSW,0.0447482908638906
0.05,224,1,MSMW.MSW,0.0490536167438828
0.05,225,3,MSMW.MSW,0.0645132566060417
0.05,227,1,MSMW.MSW,0.0496511627906976
0.05,227,4,MSMW.MSW,0.0501411786137171
0.05,228,2,MSMW.MSW,0.0628110643185298
0.05,228,3,MSMW.MSW,0.0550181643104127
0.05,229,1,MSMW.MSW,0.0407505550383155
0.05,229,4,MSMW.MSW,0.0515385119346596
0.05,231,2,MSMW.MSW,0.0546562817473755
0.05,233,1,MSMW.MSW,0.0700498651969556
0.05,234,1,MSMW.MSW,0.0443649990308616
0.05,237,3,MSMW.MSW,0.0534920634920634
0.05,238,1,MSMW.MSW,0.0552812535227144
0.05,241,3,MSMW.MSW,0.0780784360472046
0.05,242,1,MSMW.MSW,0.0482929335388351
0.05,242,2,MSMW.MSW,0.0614449121911808
0.05,243,2,MSMW.MSW,0.0478930847522115
0.05,244,1,MSMW.MSW,0.0450296076177255
0.05,244,2,MSMW.MSW,0.0431541218637992
0.05,244,3,MSMW.MSW,0.0500358281238417
0.05,246,1,MSMW.MSW,0.0416646290772164
0.05,247,3,MSMW.MSW,0.0716491661519456
0.05,248,1,MSMW.MSW,0.0539412673879443
0.05,249,2,MSMW.MSW,0.0395091502340757
0.05,1,3,product,3.8820596710271353e-4
0.05,1,4,product,2.666172121107479e-4
0.05,2,2,product,5.038613749233808e-4
