sim_id,p_msmw_w,measure,method,value
0.25_062,0.25,total_between_network_proportion,MSMW+MSW,0.0855720117116539
0.25_062,0.25,total_triplet_proportion,MSMW+MSW,0.0338740356051377
0.25_069,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0147607615697273
0.25_069,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0068455705830619
0.25_069,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0096265836324308
0.25_069,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0060611822870861
0.25_069,0.25,average_time_in_MSM_network,MSM+MSMW,232.67448157442877
0.25_069,0.25,average_time_in_WSM_network,MSM+MSMW,281.98728706465147
0.25_069,0.25,average_time_in_network_overall,MSM+MSMW,252.1594763017557
0.25_069,0.25,total_between_network_proportion,MSM+MSMW,0.0243873452021582
0.25_069,0.25,total_triplet_proportion,MSM+MSMW,0.012906752870148
0.25_069,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0322312281619167
0.25_069,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0196572460840008
0.25_069,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0318509186850799
0.25_069,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0136673718238216
0.25_069,0.25,average_time_in_MSM_network,MSMW+MSW,58.23220124613134
0.25_069,0.25,average_time_in_WSM_network,MSMW+MSW,91.7186494987454
0.25_069,0.25,average_time_in_network_overall,MSMW+MSW,74.88728119644348
0.25_069,0.25,total_between_network_proportion,MSMW+MSW,0.0640821468469967
0.25_069,0.25,total_triplet_proportion,MSMW+MSW,0.0333246179078224
0.25_071,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0196456183933686
0.25_071,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0086440720930822
